,path,value
190,./characterizationTransDigi/5/minValue,0
191,./characterizationTransDigi/5/maxValue,0
192,./characterizationTransDigi/5/level,0
193,./characterizationTransDigi/5/transfValue,0
194,./characterizationTransDigi/5/valueExists,1
195,./characterizationTransDigi/5/digits,0
196,./characterizationTransDigi/5/outlier,False
197,./characterizationTransDigi/6/code,i4054
198,./characterizationTransDigi/6/sourceVersion,3
199,./characterizationTransDigi/6/weight,0
200,./characterizationTransDigi/6/value,
201,./characterizationTransDigi/6/minValue,0
202,./characterizationTransDigi/6/maxValue,0
203,./characterizationTransDigi/6/level,0
204,./characterizationTransDigi/6/transfValue,0
205,./characterizationTransDigi/6/valueExists,0
206,./characterizationTransDigi/6/digits,0
207,./characterizationTransDigi/6/outlier,False
208,./characterizationTransDigi/7/code,i4055
209,./characterizationTransDigi/7/sourceVersion,3
210,./characterizationTransDigi/7/weight,0
211,./characterizationTransDigi/7/value,5
212,./characterizationTransDigi/7/minValue,0
213,./characterizationTransDigi/7/maxValue,0
214,./characterizationTransDigi/7/level,0
215,./characterizationTransDigi/7/transfValue,0
216,./characterizationTransDigi/7/valueExists,1
217,./characterizationTransDigi/7/digits,0
218,./characterizationTransDigi/7/outlier,False
219,./characterizationTransDigi/8/code,i4060
220,./characterizationTransDigi/8/sourceVersion,3
221,./characterizationTransDigi/8/weight,0
222,./characterizationTransDigi/8/value,14
223,./characterizationTransDigi/8/minValue,0
224,./characterizationTransDigi/8/maxValue,0
225,./characterizationTransDigi/8/level,0
226,./characterizationTransDigi/8/transfValue,0
227,./characterizationTransDigi/8/valueExists,1
228,./characterizationTransDigi/8/digits,0
229,./characterizationTransDigi/8/outlier,False
230,./characterizationInst/0/code,i6019
231,./characterizationInst/0/sourceVersion,3
232,./characterizationInst/0/weight,1
233,./characterizationInst/0/value,
234,./characterizationInst/0/minValue,
235,./characterizationInst/0/maxValue,
236,./characterizationInst/0/level,0
237,./characterizationInst/0/transfValue,0
238,./characterizationInst/0/valueExists,0
239,./characterizationInst/1/code,i6020
240,./characterizationInst/1/sourceVersion,3
241,./characterizationInst/1/weight,1
242,./characterizationInst/1/value,"Funcionários efetivos, Terceirizados"
243,./characterizationInst/1/minValue,
244,./characterizationInst/1/maxValue,
245,./characterizationInst/1/level,0
246,./characterizationInst/1/transfValue,0
247,./characterizationInst/1/valueExists,1
248,./characterizationInst/2/code,i6002
249,./characterizationInst/2/sourceVersion,3
250,./characterizationInst/2/weight,1
251,./characterizationInst/2/value,
252,./characterizationInst/2/minValue,
253,./characterizationInst/2/maxValue,
254,./characterizationInst/2/level,0
255,./characterizationInst/2/transfValue,0
256,./characterizationInst/2/valueExists,0
257,./characterizationInst/3/code,i6011
258,./characterizationInst/3/sourceVersion,3
259,./characterizationInst/3/weight,1
260,./characterizationInst/3/value,
261,./characterizationInst/3/minValue,
262,./characterizationInst/3/maxValue,
263,./characterizationInst/3/level,0
264,./characterizationInst/3/transfValue,0
265,./characterizationInst/3/valueExists,0
266,./characterizationInst/4/code,i6017
267,./characterizationInst/4/sourceVersion,3
268,./characterizationInst/4/weight,1
269,./characterizationInst/4/value,
270,./characterizationInst/4/minValue,
271,./characterizationInst/4/maxValue,
272,./characterizationInst/4/level,0
273,./characterizationInst/4/transfValue,0
274,./characterizationInst/4/valueExists,0
275,./dimensions/0/code,d2
276,./dimensions/0/level,5
277,./dimensions/0/score,74.25
278,./dimensions/0/weight,69
279,./dimensions/0/topics/0/code,t201
280,./dimensions/0/topics/0/level,7
281,./dimensions/0/topics/0/score,100.0
282,./dimensions/0/topics/0/weight,9
283,./dimensions/0/topics/0/position,0
284,./dimensions/0/topics/0/indicators/0/code,i3117
285,./dimensions/0/topics/0/indicators/0/sourceVersion,3
286,./dimensions/0/topics/0/indicators/0/weight,3
287,./dimensions/0/topics/0/indicators/0/value,100.0
288,./dimensions/0/topics/0/indicators/0/minValue,0
289,./dimensions/0/topics/0/indicators/0/maxValue,100
290,./dimensions/0/topics/0/indicators/0/level,7
291,./dimensions/0/topics/0/indicators/0/transfValue,100.0
292,./dimensions/0/topics/0/indicators/0/valueExists,1
293,./dimensions/0/topics/0/indicators/0/digits,2
294,./dimensions/0/topics/0/indicators/0/outlier,False
295,./dimensions/0/topics/0/indicators/1/code,i3127
296,./dimensions/0/topics/0/indicators/1/sourceVersion,3
297,./dimensions/0/topics/0/indicators/1/weight,3
298,./dimensions/0/topics/0/indicators/1/value,100.0
299,./dimensions/0/topics/0/indicators/1/minValue,0
300,./dimensions/0/topics/0/indicators/1/maxValue,100
301,./dimensions/0/topics/0/indicators/1/level,7
302,./dimensions/0/topics/0/indicators/1/transfValue,100.0
303,./dimensions/0/topics/0/indicators/1/valueExists,1
304,./dimensions/0/topics/0/indicators/1/digits,2
305,./dimensions/0/topics/0/indicators/1/outlier,False
306,./dimensions/0/topics/0/indicators/2/code,i3141
