NO_MUNICIPIO;Extrativa Mineral;Prod. Mineral Não Metálico;Indústria Metalúrgica;Indústria Mecânica;Elétrico e Comunic;Material de Transporte;Madeira e Mobiliário;Papel e Gráf;Borracha. Fumo. Couros;Indústria Química;Indústria Têxtil;Indústria Calçados;Alimentos e Bebidas;Serviço Utilidade Pública;Construção Civil;Comércio Varejista;Comércio Atacadista;Instituição Financeira;Adm Técnica Profissional;Transporte e Comunicações;Aloj Comunic;Médicos Odontológicos Vet;Ensino;Administração Pública;Agricultura;Outros. ignorados;Total
MA-DOM PEDRO;0;1212;1991.950754717;0;0;0;915.8518918919;0;0;0;1818;0;1334.4317857146;3952;1130.6267708334;1427.7595652174;1162.9102941178;15454.0171428552;1327.5193939394;1561.2814285714;1172.0158208955;1173.8969999999;996.5333333332;2713.0905798969;1392.8356000001;0;2114.0361032864
MA-DUQUE BACELAR;0;1307.0910000002;0;0;0;0;0;0;0;0;0;0;0;0;2677.2100000009;1763.632727273;0;32998.405000008;1119.6600000002;2222.4874999998;1246.282;0;0;2455.290334728;1204.9299999999;0;2621.078493671
MA-ESPERANTINOPOLIS;0;1253.0733333333;0;0;0;0;0;0;0;0;0;0;1245.6033333335;0;1245.6699999999;1525.8804827585;1474.1329999998;8482.2442857134;1347.5411764705;1358.2225000002;2142.922;1321.5736363635;1369.1926666666;2930.6296504558;1216.1633333334;0;2604.2682541435
MA-ESTREITO;0;0;1307625;2613.9233333319;10461.4494000012;0;1300.9525000001;606;0;0;1907.6647826087;0;1390.9142857143;7467.6915094339;1585.3700000001;1691.6112357847;1708.1266666666;12951.9509615401;1642.7504888889;2100.8915;1302.3009929079;1367.7255263159;1314.380952381;2418.1411053719;1435.6351798561;0;2303.6572144012
MA-FEIRA NOVA DO MARANHAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1404.9424999999;1212;0;2390.5314285711;3380.1699999999;1252.4000000004;1302.9000000004;0;2811.4428840125;3407.567499998;0;2580.5467821781
MA-FERNANDO FALCAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7332.6823076911;2420.9984999999;0;0;1215.9266666664;0;1381.6799999997;1183.7200000007;0;2608.3803927493;1663.5223809524;0;2588.2727777777
MA-FORMOSA DA SERRA NEGRA;3029.8599999994;0;0;0;0;0;0;0;0;0;0;0;0;0;1326.2509999996;1482.703986928;0;7178.4244444437;2166.2869230772;0;5981.7066666645;1433.8100000005;1228.835;2226.2235976628;1193.4661111113;0;2159.5625884017
MA-FORTALEZA DOS NOGUEIRAS;0;0;0;1317.0666666664;0;0;0;0;1417.952307692;0;0;0;1295.6100000002;3838.2299999986;1625.9370270271;1492.8822065728;1520.1439999998;42497.0981817997;1316.0990909091;1764.2366666665;1545.1170967744;2423.44875;1363.2941176471;2855.6676273885;1684.5663200001;0;2623.2443518517
MA-FORTUNA;0;1403.1916666663;0;0;0;0;0;0;0;0;0;0;0;0;0;1309.7725000001;1534.7300000002;6509.2799999975;1677.2177777775;1104.9466666666;1334.9300000003;1226.726666666;0;3871.3159484777;1145.0326315788;0;3347.4712132352
MA-GODOFREDO VIANA;6533.3391977078;0;0;0;0;0;0;0;0;0;0;0;3201.4178947365;0;4136.5294117649;2059.0205405405;0;0;1870.482631579;2294.2184615382;1503.8200000003;0;0;2561.1975093399;0;0;3847.1904041722
MA-GONCALVES DIAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1195.768526316;1248.7486301369;0;9100.7959999979;1462.1095652176;1960.48;780.8436363636;0;967.8181818182;2356.0267893283;946.4750000001;0;2187.6844427596
MA-GOVERNADOR ARCHER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297.4352173913;0;0;0;2187.016;1249.7400000002;0;0;3448.6538028171;1398.5337499997;0;3130.588486647
MA-GOVERNADOR EDISON LOBAO;0;0;0;0;0;0;0;0;1903.5839551358;2361.5399999999;0;0;1597.9873394495;0;1474.92625;1917.4018817204;1777.9400000003;0;1816.594375;2380.9990909093;1418.1775555556;808;1245.6699999999;2720.4645389507;1346.3451569507;0;2217.6449537343
MA-GOVERNADOR EUGENIO BARROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1532.5;1231.9303333333;0;5538.3100000015;1230.5149999997;4834.3939999998;1250.6399999997;0;0;3598.5485645936;1768.9272727274;0;3210.1798292222
MA-GOVERNADOR LUIZ ROCHA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1255.7269999998;0;0;1160.8499999996;1449.0627777778;624.5149999997;0;0;2311.3694455069;1697.9235294115;0;2202.6938279934
MA-GOVERNADOR NEWTON BELLO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1520.270666667;0;0;1205.2649999997;0;0;0;1149.1600000002;2071.3164906104;1467.1632258064;0;2019.4093562232
MA-GOVERNADOR NUNES FREIRE;0;0;0;0;0;0;0;1245.6699999999;0;0;0;0;1223.2225000002;0;0;1552.566;2453.7349999997;8398.7180000013;1089.2164705883;5162.738000001;3537.4390697671;1383.4036363638;0;2736.4571178589;1244.0687499999;0;2622.5918291112
MA-GRACA ARANHA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1741.9100000002;1785.3988235295;2047.7559999995;0;1189.4100000002;3342.4100000002;0;0;0;2692.0993055557;0;0;2601.4345041324
MA-GRAJAU;2213.2567424241;1407.0375389407;854.735;1255.2462499999;0;1290.2749999994;1177.3699999992;0;1172.6824999997;0;0;0;1359.1823333332;3404.8575384617;1055.2530666666;1723.7178672985;1548.638139535;63270.9707594965;1610.0428076923;2208.4840624998;1983.4562121212;1545.7021904762;1094.5573484848;3511.5095301772;1751.2274648876;0;3087.9425299876
MA-GUIMARAES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1542.6093333331;0;0;500;3740.9900000008;1247.7749999999;0;0;2703.8544172934;0;0;2655.8415798924
MA-HUMBERTO DE CAMPOS;0;0;0;0;0;0;0;0;0;0;0;0;0;9747.575000003;882.2456521741;1876.1120720722;0;6101.6333333328;1216.8149999995;1876.7299999997;1245.6699999999;0;0;1697.38125;1212;0;1821.0273039216
MA-ICATU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1272.6260000002;3458.3653773589;0;17803.5439999968;0;3277.1999999993;2337.3114285713;0;0;2227.5315122768;0;0;2334.7392667707
MA-IGARAPE DO MEIO;0;2586.2235714283;0;0;0;0;0;0;0;0;0;0;1790.6349152544;0;2920.7627999995;1955.4839024389;0;0;3943.6366666667;4037.4799999986;471.3087500001;0;0;4488.7520689652;1370.7527536232;0;1948.6262038405
MA-IGARAPE GRANDE;0;1381.4703448274;0;0;0;0;0;0;0;0;0;0;1241.3628571427;2986.1950000003;606;1379.6256862746;0;6282.9375;1755.1975000002;19133.1349999849;1545.7799999999;1145.8900000006;1212;2566.6435501859;1650.6992592592;0;2371.6271008403
MA-IMPERATRIZ;1505.0331249996;1949.9191981673;2021.91875817;1525.4815151515;982.3766666663;3345.6049056607;2204.2417120623;7723.5410717448;2436.1513905325;4232.6519758063;1357.931026253;1476.5945833331;1858.2404292683;8085.4846612468;3084.7018822204;2089.644324781;2298.051562986;15291.1452155773;1835.449895007;2983.1247383554;1834.2850979036;2552.5586550686;3341.6493585526;3739.2623101719;1477.8013472486;2300;2792.247078687
MA-ITAIPAVA DO GRAJAU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8124;1551.8790476188;0;0;1297.6425000001;0;2008;1272.5999999996;0;2532.397710583;1488.8900000006;0;2457.1765891471
MA-ITAPECURU MIRIM;0;1429.9461247637;1557.5122222224;0;0;0;1496.3342857142;0;1426.4799999998;0;0;0;2122.1799305554;6766.545816327;2422.5787058826;1881.46557394;1912.255409836;26887.6359523819;1957.1275581393;1629.5675274725;2702.5735714287;1305.999047619;1314.3886075949;3410.7468959192;1434.912625;0;2801.510822105
MA-ITINGA DO MARANHAO;0;0;1532.2275;0;0;0;1410.7784210527;1489.2337500001;0;0;1503.0831428572;0;1428.3249999997;0;1561.36;1647.585610687;2366.0462499999;20394.9346666599;1547.554122807;2313.1681294962;1244.599;1290.4633333333;1481.3899999998;3004.1691925926;1566.1308608321;0;2268.0190434272
MA-JATOBA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2044.0525000002;0;0;1237.8100000005;0;1195.8899999997;0;0;2854.8764450867;1635.9279999998;0;2815.0075139665
MA-JENIPAPO DOS VIEIRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1541.8285714283;1130.0558333333;0;1645.2233333333;2836.4133333334;1275.6066666665;0;0;1289.6;0;0;1457.9725581394
MA-JOAO LISBOA;0;1573.9241666663;1377.3625000002;0;0;0;1626.9817605635;0;1162.0099999998;0;1227.7100000009;0;1411.6568421052;1208.3300000001;1869.3424999998;1582.9379500001;1618.2328571427;8038.352500001;1997.201764706;3388.8779999998;1270.4595652174;1393.3731578946;1218.8359259259;1932.4773872617;1439.0772164948;0;1865.7880405169
MA-JOSELANDIA;0;1215.4499999993;0;0;0;0;0;0;0;0;0;0;0;0;1818;1387.9804651162;0;0;1212;1466.9810000002;675.5974999999;899.9966666667;0;2884.5067840374;1337.8033333334;0;2643.8086336632
MA-JUNCO DO MARANHAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1245.6699999999;0;1431;3418.9200000018;0;0;0;1846.6442880524;1665.497857143;0;1842.8350079492
MA-LAGO DA PEDRA;0;1340.1396363637;0;0;1306.8100000001;0;0;1410.5033333334;1245.6699999999;1333.3328571426;0;0;1450.9373684212;4066.6600000002;1251.784;1493.1023687281;1563.7833333334;10202.1399999984;1532.6141121495;3432.0221428582;2291.8236923076;1236.2141071429;1618.2709042553;3244.6392221392;2042.65;15717.0300000012;2431.6904209097
MA-LAGO DO JUNCO;0;0;0;0;0;0;0;0;0;0;0;0;2931.7469999993;0;0;1377.1150000001;1188.4350000001;0;1341.4278000001;3403.5799999982;2247.8812500001;0;0;2000.6165629054;1938.0014285711;606;1952.9404751132
MA-LAGO VERDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1959.2936206895;0;17507.070000001;1291.4100000002;2281.4545454548;932.5649999999;0;0;2807.017904762;1193.1205;0;2771.4452232748
MA-LAGOA DO MATO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1302.3568000001;0;0;898.6466666665;6248.6000000015;0;0;0;2576.4912871288;1399.0373333332;0;2337.2711417323
MA-LAGO DOS RODRIGUES;0;0;0;0;0;0;0;0;0;0;1212;0;0;0;0;1454.3540740741;0;0;1282.7712499996;1743.824736842;1237.2524999999;0;1174.0742857142;2334.0043087557;1035.4914285714;0;2144.5178994614
MA-LAGOA GRANDE DO MARANHAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1406.9625;0;0;1395.2000000005;0;1155.0099999998;0;0;3269.0991621622;1245.6666666667;0;3073.3533898305
MA-LAJEADO NOVO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1391.0269565217;1441.316666667;0;2145.0285714285;3524.2699999996;1228.835;0;0;2455.0866935483;1290.1846753248;0;2080.619012987
MA-LIMA CAMPOS;0;0;0;0;0;0;1212;0;0;0;0;0;1439.7852380953;0;2000;1414.1169696969;0;8117.0666666652;1577.8925000001;2384.8500000003;1372.4353333333;808;0;3297.3174851483;915.0720000003;0;2883.5001664144
MA-LORETO;0;0;0;0;0;0;0;0;0;0;0;0;1114.89;0;1195.7671794872;1281.9946153846;0;8099.9499999978;1804.7957142855;2544.7068750002;1234.4466666666;1245.6699999999;0;2310.0218653845;7264.8057350801;0;4390.4719363395
MA-LUIS DOMINGUES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6269.8061538459;0;0;0;2339.918;878.6999999999;0;0;2652.3960317461;0;0;2739.2853246754
MA-MAGALHAES DE ALMEIDA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11185.8066666722;1362.0152173913;624.4649999999;0;1473.1386206895;4549.1666666667;2699.3939999998;1291.8699999998;0;2184.7253453946;2285.5561333334;0;2156.9887758006
MA-MARACACUME;1638.1466666671;413.1826666667;0;0;0;0;0;0;0;0;0;0;1245.6699999999;0;1212;1570.6383673468;1366.9231578949;12017.6779999999;1423.9346153845;1879.093076923;1221.9380555553;1121.1378571428;1228.835;1927.4820802381;1825.2669767441;0;1935.6417805758
MA-MARAJA DO SENA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;987.6;0;0;0;0;0;0;0;3091.1682527882;1192.2333333334;0;3002.1909608542
MA-MARANHAOZINHO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1966.9749999996;1379.1327777775;0;0;404;3319.5599999987;0;0;0;2120.4670431213;1688.9863636365;0;2097.8001480751
MA-MATA ROMA;0;0;0;0;0;0;0;0;0;0;1204.9800000005;0;1287.5600000005;0;1941.2798214287;1488.8406410257;0;13695.7259999998;1502.6766666664;1642.1549999993;2763.115925926;1617.9600000009;0;2902.3122486289;2677.3726373627;0;2727.6620326087
MA-MATINHA;0;1554.1806451613;0;0;0;0;0;0;0;0;0;0;1312.7149999999;0;1280.6449999996;1317.1181578947;1112.9974999994;19714.5599999931;1598.4363157893;1776.6295588238;2160.3496774193;1354.8915384615;0;2726.7956049385;1360.1806060605;0;2443.2194215602
MA-MATOES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2752.5401818181;1471.3260833333;1392.234;0;1435.8031249998;1541.7689999998;1164.1616666666;1300.4193750001;846.235185185;2833.8976863753;1543.8123076923;0;2573.1678844862
MA-MATOES DO NORTE;0;1447.4;0;0;0;0;0;0;0;0;0;0;0;0;1665.2453333334;1517.5819999999;0;0;498.266;10294.0250000022;615.1799999997;0;0;2933.9248275865;1319.3526666666;0;2811.397465008
MA-MILAGRES DO MARANHAO;0;0;0;0;0;0;0;0;0;0;0;0;1406.7300000005;0;0;2455.8000000008;0;0;1134.5699999994;3269.6999999993;1212;0;0;2153.868189655;1780.4783333329;0;2139.1941828253
MA-MIRADOR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1874.6734545454;1369.6302083333;1164.04;8853.5100000031;1655.2442857146;3485.6000000015;1521.0559999997;0;1018.8513888888;2614.1728453039;1429.0989915967;49116.4100000262;2167.8136825645
MA-MIRANDA DO NORTE;0;0;0;0;0;0;0;0;0;0;0;0;866.5459999999;9374.4078260874;609.0750000002;1528.8961591695;1624.4028000001;5898.8949999986;477.065625;2897.2100000004;1264.4933333333;1257.0499999998;606;1886.1141468127;1633.636147541;0;2034.2015373962
MA-MIRINZAL;0;1223.3321428573;0;0;0;0;0;0;0;0;0;0;0;3242.9299999997;0;1922.1788181818;5392.5200000012;6874.6775000012;0;3517.986666667;1313;0;0;2912.80857971;0;0;2671.1486454182
MA-MONCAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1249.295116279;1266.3807462686;0;3680.8449999988;1914.9862499998;2866.7599999998;1185.89;2733.7674712641;0;2347.5001644563;668.121891892;0;2294.9650697256
MA-MONTES ALTOS;0;1341.9700000007;0;0;0;0;0;0;0;0;0;0;0;0;1800;2069.3522857144;1194.2183333334;0;1226.5899999999;3700.9400000013;1313.1279999998;0;0;2604.2845179064;1445.0706818181;0;2408.7567538127
MA-MORROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3226.3903174598;1421.7671875001;1444.6950000003;0;1193.4850000003;3562.6342857151;1276.072051282;0;1403.6283333333;2445.723647482;0;0;2362.2377360775
MA-NINA RODRIGUES;0;0;0;0;0;0;0;0;0;0;0;0;0;1424.9841206029;2884.4449999994;1836.0160000003;0;0;1231.8266666668;3343.9100000002;1171.5999999996;0;0;3240.9736312846;0;0;2557.083976109
MA-NOVA COLINAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1334.5921052631;0;0;926.6899999999;0;1249.0299999993;0;0;2473.2254268295;1862.1000000003;0;2336.7729081635
MA-NOVA IORQUE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1501.0763636364;0;0;0;2600.628333333;1291.6799999997;0;0;2697.3123622048;6120.127534246;0;3367.9015606935
MA-NOVA OLINDA DO MARANHAO;0;0;0;0;0;0;0;0;0;0;0;0;1396.5517647056;0;0;1565.9106896551;0;0;475.1487500002;2894.4100000002;1214.1699999999;0;0;3542.9618983956;1388.8094117646;0;3007.002629482
MA-OLHO D AGUA DAS CUNHAS;0;2498.0700000003;0;0;0;0;0;1201.9000000004;1245.6699999999;0;0;0;0;0;1606.5504545455;1384.0020588234;0;22484.0580000028;0;21304.4550000075;823.7120000001;1369.4649999999;1212;2681.5357198827;1855.1021428572;0;2579.4498119124
MA-OLINDA NOVA DO MARANHAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1803.6200000001;1398.7084615385;0;0;1199.8333333336;2524.6475000004;859.2600000004;0;0;2169.2829149797;0;0;2122.1137275307
MA-PACO DO LUMIAR;0;1393.9274418606;1650.1843478262;0;0;0;1527.0728125002;2316.8099999999;1934.138333333;2130.3839743592;1236.4714285717;0;1514.5275700935;3883.4953112033;1994.3925819265;1612.0589035667;1704.7039837399;13286.3862295089;1523.2735394737;1925.4399270073;1567.9995179063;1671.3692805755;1386.1046436285;3251.7569565216;1968.8039843749;1300.1999999993;2532.8775158933
MA-PALMEIRANDIA;0;0;0;0;0;0;0;0;0;0;0;0;1502.7222222224;0;0;1416.5970967743;1659.4035714285;0;1212;1949.7199999996;8731.8800000002;1212;0;2104.0607346939;1872.835;0;2075.8338527608
MA-PARAIBANO;0;869.0614634146;0;0;0;0;0;0;0;0;0;0;1891.4550000001;0;2442.348181818;1465.3291216216;0;4805.1275000023;1450.2485714283;6017.0393749985;1422.1181818181;1244.3471428571;0;3047.7754683197;1229.25;0;2707.1014984711
MA-PARNARAMA;0;2379.6099999994;1248.9299999997;0;0;0;0;0;0;0;0;0;1188.066666667;0;1279.3592473119;1816.45;606;23906.8279999986;14905.9957142854;2820.9742307693;1155245;1245.66875;1488.2276190472;2105.6665285714;3706.1849343832;0;2411.130973913
MA-PASSAGEM FRANCA;0;1228.8580000002;0;0;0;0;0;0;0;0;0;0;0;1212;624.6441176471;1425.3987150838;0;4899.0783333322;2566.2319999997;19830.4699999988;0;1614.7845000002;1232.5736363634;1899.6341330166;2722.6841666667;0;1911.7041647332
MA-PASTOS BONS;1670.671724138;0;0;0;0;0;0;0;0;0;0;0;1444.7141176471;2192.8284615383;1185.1657309942;1376.5612618296;1206.1464285715;11997.2866666702;1880.8619999999;2127.6386956523;1598.4077777776;1322.57;1318.5657142858;2776.5466427933;1458.652222222;0;2181.4219400001
MA-PAULINO NEVES;0;0;0;0;0;0;0;0;0;0;0;0;0;9530.5085714257;0;1318.6951666667;0;0;1155.4400000004;288.6815686276;1315.4724999997;606;0;2314.7367564967;0;0;2209.7461716739
MA-PAULO RAMOS;0;0;0;0;0;0;0;0;0;0;0;0;1291.9399999995;0;1202.3333333333;1397.1565254236;0;7718.1662499998;1240.7580000002;2285.0740000002;1471.0125;1358.2425000004;1109.6638461539;3242.7344880786;1173.026153846;0;2864.7333586133
MA-PEDREIRAS;0;0;1241.8670588234;1843.5266666667;0;0;0;1216.8142307692;0;1532.0126190476;1349;0;1360.1014516128;3084.347434555;1234.0331250001;1799.537435751;1800.2183886254;15742.390869565;2846.1887837838;1949.6258119659;1314.3902024291;1935.3477956989;1605.7037450198;2503.6284886878;1475.5160377359;0;2330.3202206462
MA-PEDRO DO ROSARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1295.8691666668;0;0;1212;9898.415000001;0;0;0;3176.8255981734;1364.5479999997;0;3117.8235877192
MA-PENALVA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1212;1282.4442021276;0;24047.1379999921;907.1866666665;2163.7300000002;1352.7024999997;1041.9666666665;0;2264.766971831;1260.2566666665;0;2214.5768517624
MA-PERI MIRIM;0;1500.0199999996;0;0;0;0;0;0;0;0;0;0;1356.6856;0;0;884.8237037036;1415.0274999999;0;1875.0476470589;3286.0700000003;1394.9966666667;0;0;2179.8190430621;1729.4225000001;0;2082.6035063112
MA-PERITORO;0;3093.3509000001;0;0;0;0;0;0;0;0;0;0;1245.6699999999;3486.0827272723;1575.5999999996;1597.8095783132;0;42625.3142857136;1300.4255555556;1406.9930434787;1341.7328301888;1409.2149999999;0;2852.8208649095;1522.6764406778;0;2783.7206426427
MA-PINDARE-MIRIM;0;1468.3149152542;16177.7777777778;0;0;0;1245.6699999999;0;0;1262.355;0;0;2170.9049999993;0;1342.3836363635;1727.9068292682;2466.6222627738;12194.9175000046;1030.2895238094;2316.2799999997;2073.3859999999;2428.1123333332;940.2166666671;2599.8741519205;2019.9051515151;0;2462.463057169
MA-PINHEIRO;0;1513.5036842104;1204.3699999998;1246.1719999999;0;0;1689.236097561;1494.469047619;1190.0762499999;0;1000;0;3806.5685185188;6260.0187931035;1577.0779999998;1783.1080823244;2050.4974074074;14713.807303372;2769.0774774778;2458.1698214287;2526.0731210191;1806.8303448276;2141.556925795;3009.4665738396;1091.4639999999;0;2701.7826403823
MA-PIO XII;0;1541.3563529411;0;0;0;0;0;0;0;0;0;0;0;0;1005.2500000004;1543.8638235294;535.2999999998;24607.0360000014;1230.46;7967.2950000018;4600.2038461538;1212;0;1996.7268989711;1233.7920000002;0;2027.1537891618
MA-PIRAPEMAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1404.106056338;0;0;696.085;3656.6900000013;1559.9449999998;0;1020.0999999996;2776.888099918;0;0;2691.2233563747
MA-POCAO DE PEDRAS;0;0;1872.2600000007;0;0;0;0;0;0;0;0;0;1212;0;0;1564.1321917807;0;8508.8180000015;1212;4396.2707142847;1075.9859999999;1420.0616666665;0;3314.1012949641;1314.5833333335;0;3139.0453987731
MA-PORTO FRANCO;2816.1701694915;1171.6881249999;1651.1960000001;2232.4803448276;0;0;0;1021.6583333332;0;0;1240.8971428571;0;5784.0267021274;4527.717894737;700.8645614034;1692.3072866521;3000.3616296293;34070.0606060661;1757.0583333333;2596.9413333333;1520.4246258503;1272.1327999999;1160.0975862068;3102.3245660749;1664.6540000001;0;3139.5208829713
MA-PORTO RICO DO MARANHAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13617.5225000014;0;0;0;3160.7149999999;0;1368.9900000002;0;2497.5119860629;0;0;2649.4777210886
MA-PRESIDENTE DUTRA;0;1482.441888889;1619.7118181817;1336.4036363638;1194.9425000001;0;1212;1421.9347058822;1330.182;5518.2148351655;1449.7781818182;0;1361.9628000002;12047.6738016523;2611.5161061947;1659.1475868634;2020.399244186;19110.4173750016;1584.3365517241;2299.0439772729;1235.9385929648;1523.1525806451;1605.104057971;3249.1956809817;1205.6720454545;0;2726.6639588603
MA-PRESIDENTE JUSCELINO;2422.9457142859;0;4890.9100000002;0;0;0;0;0;0;0;0;0;0;0;0;1477.9167741936;1500;0;369.3635714286;3627.129999999;1300.7380000003;0;0;3279.1629801323;0;0;3063.8533073929
MA-PRESIDENTE MEDICI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1254.7400000002;1304.9366666668;0;0;2101.8350000009;3331.9899999984;1212;0;1450.4666666665;1790.8686900369;1230.3650000002;0;1769.4799131944
MA-PRESIDENTE SARNEY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1212;1307.3636;0;24156.7233333302;818.1299999999;3215.8300000001;1314.8633333333;0;0;2611.4041975308;0;0;2650.5734857142
MA-PRESIDENTE VARGAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1596.102857143;1396.6099999994;0;1212;11880.5949999988;303;0;0;2865.3794088667;1212;0;2860.0977909736
MA-PRIMEIRA CRUZ;2920.3175000008;0;0;0;0;0;0;0;0;0;0;0;0;1355.6191666666;1214.6666666667;885.3014285713;0;0;1212;0;1353.7511111111;0;0;2915.4205545925;1383.8844444445;0;2801.7022275639
MA-RAPOSA;0;1889.8824637678;0;0;0;0;1606.3488235296;1515.5674999999;0;1942.2928571427;1613.647419355;0;510.4388888889;1638.6202325581;1526.6158955223;1421.1072043011;1367.7854285715;0;1602.5250000001;2989.9799999994;1710.8116384179;1545.1800000002;1215.6576744185;2667.0685776804;1686.5870000003;0;2072.6901522359
MA-RIACHAO;0;1210.3872340425;0;0;0;0;0;0;0;0;0;0;1254.8399999999;0;4389.4136666667;1552.7398406375;2422.06125;8752.6012500003;1827.887307692;1847.3743820225;1412.4954761905;1503.1525;1212;2688.8704452465;2342.9819965278;0;2362.7069422776
MA-RIBAMAR FIQUENE;2054.7686666665;1554.9517647058;0;0;0;0;0;0;0;0;0;0;0;0;1159.3300000001;1430.0738709675;27744;0;934.2524999999;1333.1999999999;1419.0250000004;0;0;2570.5155240175;1552.56264;0;2249.66
MA-ROSARIO;3337.323793103;1402.0855434782;0;1416.3154545455;0;0;1836.4493333332;0;0;0;1858.7308333335;0;1581.1626923074;2803.3652336447;1769.3918085108;1534.5929261745;1700.4076666667;23653.2649019586;7080.11;3794.9406666675;989.8942424242;1355.1244444444;5415.0634782596;3317.6239627659;1315.8611111109;0;2902.5515070242
MA-SAMBAIBA;0;0;0;0;0;0;1212;0;0;0;0;0;0;0;1348.8321666666;1250.9991666667;2802.0282608696;0;5164.4249999998;1326.1999999999;0;0;0;2331.3629772726;7267.5294603176;0;4937.3303653356
MA-SANTA FILOMENA DO MARANHAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1825.7428571425;0;0;1537.1049999995;2032.4874999994;0;0;0;2312.1492513367;2239.172857143;0;2295.4375380709
MA-SANTA HELENA;0;0;1360.78;0;0;0;1240.6285714289;1223.7850000002;0;0;0;0;0;0;787.0613333333;1713.0943556701;1838.8042105266;40406.1492857111;1427.3800000001;2365.391904762;950.9933333333;677.4312499999;1123.661333333;2779.9609485095;1247.8433333331;0;2744.207513536
MA-SANTA INES;0;1257.4227272728;1377.1159375001;1216.123;1220;866.826;0;3865.0485714284;1568.412631579;0;1044.2826923078;0;1379.8882142857;7369.2352439027;2204.4056363636;2114.5199340102;1984.7590476191;22970.4027692318;1762.004968421;2004.9370086705;1418.317359375;2520.659536508;2175.1009512761;2951.0423241689;1816.855059761;0;2534.2205216096
MA-SANTA LUZIA;0;1212;0;0;0;0;0;1230.4649999999;0;1289.3792857145;0;0;1477.9023076925;2715.5633333325;2281.5885714284;1877.9304184704;1557.3051851853;8610.6729999999;1723.2308108109;1968.3362962962;3527.4638709671;1211.5495238097;3256.874444445;3885.5024845232;1642.1666448801;0;3191.1754316172
MA-SANTA LUZIA DO PARUA;0;0;2031.2233333333;0;0;0;0;0;0;0;0;0;0;0;0;1618.1054545454;1638.7395454545;24802.8347368491;1071.1667857144;1123.3060869565;1680.2649999998;1284;1212;2265.1094279428;1341.1041666667;0;2316.2352896949
MA-SANTA QUITERIA DO MARANHAO;0;1410.5475000003;0;0;0;0;0;0;0;0;0;0;0;0;0;1512.0920491803;3831.3000000008;9577.8449999988;1045.248;3083.7349999994;416.3099999999;1222.2655555556;0;2195.009501868;1248.1591228069;0;2113.9153294676
MA-SANTA RITA;1844.6260000002;1664.9017105263;0;0;0;0;0;1330.3539999999;0;0;0;0;1183.9842857142;1707.9885714286;1636.0485714288;1510.0873406594;1426.5241052631;35501.0266666688;1397.4718181814;3825.9185714289;1525.6823529411;1241.5959999997;1255.5073913043;3076.5764744427;1707.5357692307;0;2657.9511713395
MA-SANTANA DO MARANHAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1591.2365384619;0;0;1232.1999999993;5094.6899999976;0;0;0;2889.9707709752;1510.975;0;2649.2474953619
MA-SANTO AMARO DO MARANHAO;0;2154.9550000001;0;0;0;0;0;0;0;0;0;0;1304.5366666665;0;4915.301666666;1396.9972727273;0;0;1272.5099999998;1749.0483333335;1010.0678431372;0;0;2684.8807931727;0;0;2567.0072271914
