Município;Analfabeto;Até 5 Incompleto;5 Completo Fundamental;6 a 9 Fundamental;Fundamental Completo;Médio Incompleto;Médio Completo;Superior Incompleto;Superior Completo;Mestrado;Doutorado;Total
CE-ACARAU;14;114;79;225;356;149;2612;91;1277;5;0;4922
CE-ACOPIARA;28;92;53;101;202;78;1670;121;718;2;0;3065
CE-AIUABA;9;19;1;7;29;11;872;15;305;1;0;1269
CE-ALCANTARAS;1;32;21;29;41;14;335;19;303;42;0;837
CE-ALTANEIRA;0;5;7;15;26;10;210;25;288;4;0;590
CE-ALTO SANTO;20;35;37;41;95;53;398;20;280;10;0;989
CE-AMONTADA;9;60;45;69;274;86;1861;56;856;1;0;3317
CE-ANTONINA DO NORTE;0;4;1;2;152;22;226;44;212;0;0;663
CE-APUIARES;2;151;6;21;79;26;421;14;226;1;0;947
CE-AQUIRAZ;251;594;314;988;1654;1229;12560;872;2855;20;2;21339
CE-ARACATI;67;334;208;648;996;509;5951;311;1984;48;14;11070
CE-ARACOIABA;15;222;24;71;130;64;1478;37;347;0;0;2388
CE-ARARENDA;10;29;12;108;74;24;517;18;271;0;0;1063
CE-ARARIPE;8;14;7;106;110;26;483;31;379;0;0;1164
CE-ARATUBA;2;68;4;49;63;54;399;20;189;0;0;848
CE-ARNEIROZ;1;14;10;12;29;13;227;16;280;0;0;602
CE-ASSARE;317;183;92;43;56;34;444;26;465;1;0;1661
CE-AURORA;3;11;15;30;181;29;689;34;492;0;0;1484
CE-BAIXIO;3;33;0;10;24;4;189;29;72;0;0;364
CE-BANABUIU;10;58;26;79;164;64;862;27;445;0;0;1735
CE-BARBALHA;59;204;139;414;811;523;7070;370;2584;6;1;12181
CE-BARREIRA;8;50;5;36;82;34;639;15;343;0;0;1212
CE-BARRO;3;48;8;32;71;32;619;15;434;0;0;1262
CE-BARROQUINHA;4;17;19;69;103;32;575;24;444;1;0;1288
CE-BATURITE;10;55;34;170;255;172;2636;191;1066;16;1;4606
CE-BEBERIBE;39;248;84;491;816;372;2968;109;1192;3;0;6322
CE-BELA CRUZ;13;31;93;46;187;63;1046;37;486;0;0;2002
CE-BOA VIAGEM;31;85;72;158;413;100;1550;61;880;0;1;3351
CE-BREJO SANTO;23;263;91;530;636;861;5404;113;1669;1;0;9591
CE-CAMOCIM;42;320;65;254;629;227;3245;131;1054;1;0;5968
CE-CAMPOS SALES;25;104;51;43;53;66;983;67;672;0;0;2064
CE-CANINDE;24;336;121;252;671;307;5132;110;1286;24;14;8277
CE-CAPISTRANO;4;12;1;20;80;94;518;33;253;0;0;1015
CE-CARIDADE;9;56;42;96;101;45;513;14;241;0;0;1117
CE-CARIRE;1;89;2;33;72;15;597;12;363;1;0;1185
CE-CARIRIACU;5;24;41;67;168;89;821;20;615;0;0;1850
CE-CARIUS;2;14;31;39;92;26;489;16;273;0;0;982
CE-CARNAUBAL;2;25;5;40;70;40;582;77;603;0;0;1444
CE-CASCAVEL;151;283;163;404;995;582;4882;216;1281;15;4;8976
CE-CATARINA;0;59;0;37;65;18;212;5;162;0;0;558
CE-CATUNDA;3;41;0;33;81;9;347;18;246;0;0;778
CE-CAUCAIA;168;690;517;1647;3490;2119;28608;1916;7978;127;22;47282
CE-CEDRO;2;20;16;29;100;24;832;11;517;2;0;1553
CE-CHAVAL;18;528;3;37;87;65;293;17;439;0;0;1487
CE-CHORO;1;31;18;14;39;10;205;4;184;0;0;506
CE-CHOROZINHO;13;28;6;42;243;61;932;199;542;0;0;2066
CE-COREAU;6;37;3;22;166;29;496;27;521;0;0;1307
CE-CRATEUS;22;141;131;328;340;237;4082;315;1491;42;4;7133
CE-CRATO;68;233;181;577;1010;896;10617;646;4764;16;6;19014
CE-CROATA;1;14;15;9;26;14;356;21;169;200;6;831
CE-CRUZ;7;54;34;70;176;70;1693;35;530;1;0;2670
CE-DEPUTADO IRAPUAN PINHEIRO;1;19;21;24;43;22;317;16;152;1;0;616
CE-ERERE;22;15;14;14;37;32;212;8;198;0;0;552
CE-EUSEBIO;280;778;502;1653;3083;1739;28197;2283;7471;67;10;46063
CE-FARIAS BRITO;4;41;33;33;45;34;510;45;508;0;1;1254
CE-FORQUILHA;15;31;45;108;233;105;1091;79;263;2;181;2153
CE-FORTALEZA;2100;11637;7655;25625;47624;30882;487761;39749;166299;6523;2970;828827
CE-FORTIM;6;72;36;61;188;72;1207;34;261;0;0;1937
CE-FRECHEIRINHA;4;56;17;272;360;253;2196;85;421;0;0;3664
CE-GENERAL SAMPAIO;2;45;13;19;41;16;259;28;168;0;0;591
CE-GRACA;0;2;2;0;8;3;595;4;19;0;0;633
CE-GRANJA;10;38;36;109;155;54;1008;53;866;1;0;2330
CE-GRANJEIRO;2;4;17;2;14;14;267;20;181;0;0;521
CE-GROAIRAS;5;27;7;41;83;29;528;27;196;0;0;943
CE-GUAIUBA;25;110;22;91;199;152;1017;47;374;0;0;2037
CE-GUARACIABA DO NORTE;10;121;10;140;171;180;1203;118;999;0;1;2953
CE-GUARAMIRANGA;2;15;8;30;75;17;510;13;196;0;0;866
CE-HIDROLANDIA;92;97;68;17;48;96;568;32;399;2;0;1419
CE-HORIZONTE;160;449;463;1187;1803;1805;10759;2831;1718;28;3;21206
CE-IBARETAMA;10;43;44;49;94;48;367;29;281;0;0;965
CE-IBIAPINA;7;25;19;53;84;58;528;84;625;3;0;1486
CE-IBICUITINGA;1;2;4;6;8;4;387;13;298;1;0;724
CE-ICAPUI;53;222;117;552;285;260;1676;87;677;4;1;3934
CE-ICO;26;72;144;192;297;120;2149;131;1347;46;18;4542
CE-IGUATU;53;269;186;622;1218;794;9058;505;1747;87;9;14548
CE-INDEPENDENCIA;3;6;8;9;35;8;277;14;58;0;0;418
CE-IPAPORANGA;3;72;18;9;28;18;333;30;194;0;0;705
CE-IPAUMIRIM;7;58;1;23;69;29;619;40;212;0;0;1058
CE-IPU;10;52;68;94;246;125;1911;114;1085;6;5;3716
CE-IPUEIRAS;5;151;6;102;117;33;834;63;601;0;0;1912
CE-IRACEMA;0;2;38;79;168;29;353;4;128;0;0;801
CE-IRAUCUBA;6;96;23;48;162;32;1097;77;430;0;0;1971
CE-ITAICABA;3;47;12;24;43;18;298;22;169;0;0;636
CE-ITAITINGA;39;203;127;374;667;426;6342;436;1644;7;24;10289
CE-ITAPAJE;28;358;86;386;386;206;2566;106;699;4;0;4825
CE-ITAPIPOCA;22;229;307;594;880;720;10197;356;2790;3;5;16103
CE-ITAPIUNA;11;93;17;30;57;153;334;46;168;0;2;911
CE-ITAREMA;8;166;76;185;206;76;1493;24;819;0;0;3053
CE-ITATIRA;36;59;52;40;17;288;130;7;291;0;0;920
CE-JAGUARETAMA;8;20;7;23;65;28;587;26;432;4;19;1219
CE-JAGUARIBARA;5;50;13;56;82;77;391;44;244;0;0;962
CE-JAGUARIBE;18;100;51;146;222;117;1863;94;901;4;0;3516
CE-JAGUARUANA;43;309;163;309;229;184;1908;88;885;5;2;4125
CE-JARDIM;3;137;8;61;115;43;730;36;640;1;0;1774
CE-JATI;0;22;1;19;13;5;286;9;159;0;0;514
CE-JIJOCA DE JERICOACOARA;12;219;28;113;240;198;3662;89;590;0;0;5151
CE-JUAZEIRO DO NORTE;143;574;443;1436;2824;2276;31989;2425;10114;388;166;52778
CE-JUCAS;9;24;52;80;101;48;881;67;373;0;0;1635
CE-LAVRAS DA MANGABEIRA;7;35;14;29;100;43;997;15;596;0;4;1840
CE-LIMOEIRO DO NORTE;104;633;260;577;778;501;4943;299;1524;49;4;9672
CE-MADALENA;4;17;78;48;139;39;647;12;273;4;0;1261
CE-MARACANAU;170;839;582;2224;4781;2948;42210;2050;9183;113;51;65151
CE-MARANGUAPE;154;311;303;481;1119;528;7498;333;1865;6;3;12601
CE-MARCO;7;93;37;151;197;167;1652;186;827;1;0;3318
CE-MARTINOPOLE;5;27;25;48;48;11;367;24;386;1;0;942
CE-MASSAPE;8;37;25;77;98;64;660;44;119;0;0;1132
CE-MAURITI;26;57;39;62;168;74;2069;56;908;0;0;3459
CE-MERUOCA;4;1;0;21;16;19;579;38;504;0;0;1182
CE-MILAGRES;3;88;35;82;119;75;773;43;667;2;0;1887
CE-MILHA;0;9;1;8;48;19;412;13;292;3;1;806
CE-MIRAIMA;0;0;0;0;0;1;82;3;1;0;0;87
CE-MISSAO VELHA;18;95;54;122;264;146;1877;56;395;0;0;3027
CE-MOMBACA;17;148;14;106;272;73;1271;66;790;0;0;2757
CE-MONSENHOR TABOSA;2;5;3;8;65;10;388;40;668;0;0;1189
CE-MORADA NOVA;40;355;81;455;989;662;5857;313;1179;1;0;9932
CE-MORAUJO;4;22;38;50;40;29;252;47;195;0;0;677
CE-MORRINHOS;8;41;6;6;41;28;417;12;251;0;1;811
CE-MUCAMBO;6;5;3;74;54;86;487;45;456;0;0;1216
CE-MULUNGU;1;22;21;33;37;36;502;22;267;0;1;942
CE-NOVA OLINDA;16;42;48;81;175;53;648;35;436;0;0;1534
CE-NOVA RUSSAS;23;72;36;96;151;70;1205;55;613;0;0;2321
CE-NOVO ORIENTE;5;34;14;37;141;83;742;105;617;4;0;1782
CE-OCARA;4;49;5;19;112;16;387;11;393;0;0;996
CE-OROS;3;5;2;6;30;13;765;14;97;0;2;937
CE-PACAJUS;79;282;194;537;782;596;5185;261;1348;8;3;9275
CE-PACATUBA;39;122;135;338;842;377;5581;210;1426;0;0;9070
CE-PACOTI;0;17;11;20;69;36;485;35;388;0;0;1061
CE-PACUJA;9;53;38;23;49;18;280;24;127;0;0;621
CE-PALHANO;2;27;14;65;55;21;282;11;269;1;0;747
CE-PALMACIA;1;4;6;12;131;4;228;9;199;0;0;594
CE-PARACURU;19;74;111;160;340;143;2141;47;885;2;0;3922
CE-PARAIPABA;20;128;173;217;308;201;2126;71;717;3;1;3965
CE-PARAMBU;29;47;59;154;355;133;700;22;708;0;0;2207
CE-PARAMOTI;8;4;89;64;40;10;247;15;272;0;0;749
CE-PEDRA BRANCA;37;54;48;82;256;42;1236;29;534;0;0;2318
CE-PENAFORTE;1;4;2;3;7;15;657;9;128;0;0;826
CE-PENTECOSTE;8;60;23;160;327;159;2934;46;794;37;2;4550
CE-PEREIRO;3;84;40;124;207;127;2406;178;771;5;0;3945
CE-PINDORETAMA;19;106;21;90;203;47;1001;24;468;1;1;1981
CE-PIQUET CARNEIRO;3;13;5;68;281;95;338;20;212;12;0;1047
CE-PIRES FERREIRA;10;64;35;27;33;21;309;43;310;3;0;855
CE-PORANGA;3;30;25;42;44;29;293;14;269;0;0;749
CE-PORTEIRAS;1;66;17;25;51;41;592;30;401;0;0;1224
CE-POTENGI;3;5;3;12;323;19;197;5;203;0;0;770
CE-POTIRETAMA;8;58;7;15;32;10;97;3;135;4;0;369
CE-QUITERIANOPOLIS;9;9;44;106;107;26;458;20;443;0;4;1226
CE-QUIXADA;84;106;135;295;444;422;5246;514;2853;137;32;10268
CE-QUIXELO;6;18;26;31;89;13;397;12;322;0;0;914
CE-QUIXERAMOBIM;58;232;126;586;1206;632;7227;478;2447;20;6;13018
CE-QUIXERE;28;188;58;266;312;171;1919;68;658;16;0;3684
CE-REDENCAO;6;46;27;64;124;76;1180;54;783;71;385;2816
CE-RERIUTABA;34;64;64;40;96;67;598;56;550;0;0;1569
CE-RUSSAS;102;471;159;932;864;631;6115;247;1644;6;0;11171
CE-SABOEIRO;2;3;3;12;97;70;301;6;319;0;0;813
CE-SALITRE;0;2;5;4;75;51;1197;102;368;0;0;1804
CE-SANTANA DO ACARAU;0;87;36;56;137;58;637;40;593;0;4;1648
CE-SANTANA DO CARIRI;4;5;19;57;99;34;527;40;502;0;0;1287
CE-SANTA QUITERIA;10;113;56;269;423;202;3631;82;754;1;0;5541
CE-SAO BENEDITO;29;70;48;146;292;275;2396;99;1037;2;0;4394
CE-SAO GONCALO DO AMARANTE;29;241;164;432;948;349;10211;294;3105;23;31;15827
CE-SAO JOAO DO JAGUARIBE;2;13;15;23;35;10;203;5;144;0;0;450
CE-SAO LUIS DO CURU;6;16;18;18;70;13;369;5;180;0;0;695
CE-SENADOR POMPEU;7;93;55;287;475;198;2229;61;417;0;0;3822
CE-SENADOR SA;1;29;0;16;33;22;237;14;211;0;0;563
CE-SOBRAL;244;661;553;2286;2730;2948;30455;3199;10316;587;239;54218
CE-SOLONOPOLE;8;228;30;88;165;58;1251;54;537;1;0;2420
CE-TABULEIRO DO NORTE;2;37;36;140;249;108;1290;54;572;1;16;2505
CE-TAMBORIL;0;19;16;36;69;22;680;34;380;0;0;1256
CE-TARRAFAS;11;39;31;20;45;29;234;30;111;2;0;552
CE-TAUA;39;311;41;152;313;218;2371;213;1270;2;0;4930
CE-TEJUCUOCA;6;127;1;64;121;34;767;15;490;0;0;1625
CE-TIANGUA;89;130;97;348;641;389;5908;478;1585;4;355;10024
CE-TRAIRI;78;62;45;152;458;338;2367;191;843;2;0;4536
CE-TURURU;1;8;5;32;68;19;503;16;349;0;0;1001
CE-UBAJARA;16;107;48;184;265;119;1739;115;761;5;3;3362
CE-UMARI;2;2;0;17;19;5;171;23;206;19;0;464
CE-UMIRIM;2;42;31;68;114;32;590;51;304;1;0;1235
CE-URUBURETAMA;10;371;39;129;258;116;1286;30;438;1;0;2678
CE-URUOCA;7;59;3;105;132;18;742;44;460;0;0;1570
CE-VARJOTA;7;15;8;56;163;30;1161;98;686;3;1;2228
CE-VARZEA ALEGRE;11;24;12;68;160;59;1904;72;988;1;0;3299
CE-VICOSA DO CEARA;4;29;27;103;550;101;1502;110;922;2;0;3350
RN-ACARI;3;35;25;55;60;83;836;24;214;2;0;1337
RN-ACU;62;294;149;427;336;429;4149;247;1255;8;3;7359
RN-AFONSO BEZERRA;5;58;22;133;33;42;255;6;162;1;1;718
RN-AGUA NOVA;0;16;10;18;12;20;68;5;70;2;0;221
RN-ALEXANDRIA;4;25;21;41;59;25;498;13;224;1;0;911
RN-ALMINO AFONSO;0;5;0;2;8;2;169;3;91;12;0;292
RN-ALTO DO RODRIGUES;18;60;51;84;122;128;2482;95;598;14;3;3655
RN-ANGICOS;1;7;2;10;11;35;655;23;218;0;0;962
RN-ANTONIO MARTINS;1;2;6;14;22;10;134;7;102;0;0;298
RN-APODI;41;360;225;318;212;279;1890;81;573;4;0;3983
RN-AREIA BRANCA;11;31;49;185;401;276;2719;129;638;14;2;4455
RN-ARES;110;754;107;316;295;301;1494;20;180;1;0;3578
RN-AUGUSTO SEVERO;1;4;2;247;8;6;91;9;152;1;1;522
RN-BAIA FORMOSA;28;571;189;724;392;344;713;57;136;50;0;3204
RN-BARAUNA;66;419;291;295;358;241;1931;110;574;10;3;4298
RN-BARCELONA;2;3;4;1;80;34;307;13;122;0;0;566
RN-BENTO FERNANDES;1;0;0;1;7;4;320;4;112;0;0;449
RN-BODO;0;1;2;6;33;3;209;2;77;2;0;335
RN-BOM JESUS;1;7;5;19;25;23;233;7;68;0;0;388
RN-BREJINHO;6;40;34;25;37;62;442;10;174;1;0;831
RN-CAICARA DO NORTE;6;55;16;44;62;61;290;13;98;1;0;646
RN-CAICARA DO RIO DO VENTO;0;1;0;1;9;2;157;3;78;0;0;251
RN-CAICO;89;214;125;553;683;693;6531;426;2266;25;5;11610
RN-CAMPO REDONDO;1;1;4;3;48;7;291;22;223;0;0;600
RN-CANGUARETAMA;28;98;55;173;131;197;1441;53;713;2;0;2891
RN-CARAUBAS;5;54;29;88;166;83;860;37;424;0;0;1746
RN-CARNAUBA DOS DANTAS;14;66;47;172;78;75;657;20;127;6;0;1262
RN-CARNAUBAIS;19;34;36;46;43;57;463;25;268;14;3;1008
RN-CEARA-MIRIM;73;189;120;207;505;359;3443;127;1492;17;1;6533
RN-CERRO CORA;1;15;10;47;22;42;467;11;133;99;0;847
RN-CORONEL EZEQUIEL;0;6;1;0;1;3;235;5;75;1;0;327
RN-CORONEL JOAO PESSOA;1;10;6;21;9;13;67;1;110;0;0;238
RN-CRUZETA;3;24;33;22;85;37;627;16;167;0;0;1014
RN-CURRAIS NOVOS;43;82;57;188;472;387;3205;181;1021;30;3;5669
RN-DOUTOR SEVERIANO;0;8;1;6;14;0;214;13;155;0;27;438
RN-PARNAMIRIM;203;787;510;1431;2296;2557;30826;1650;8519;177;50;49006
RN-ENCANTO;0;1;0;9;41;8;185;7;116;1;2;370
RN-EQUADOR;4;38;34;27;148;17;281;3;36;0;0;588
RN-ESPIRITO SANTO;4;9;2;6;12;19;642;6;145;181;0;1026
RN-EXTREMOZ;30;49;26;71;415;197;2230;75;480;331;2;3906
RN-FELIPE GUERRA;0;7;10;33;28;10;271;32;100;0;0;491
RN-FERNANDO PEDROZA;4;12;4;5;85;4;74;16;51;0;0;255
RN-FLORANIA;1;11;90;18;29;10;471;9;169;0;0;808
RN-FRANCISCO DANTAS;0;0;0;0;9;14;158;4;85;1;0;271
RN-FRUTUOSO GOMES;0;20;3;4;15;4;55;4;17;0;0;122
RN-GALINHOS;9;30;13;46;18;40;267;6;97;1;0;527
RN-GOIANINHA;39;104;46;140;193;157;1850;95;664;0;0;3288
RN-GOVERNADOR DIX-SEPT ROSADO;10;82;30;109;54;93;454;13;425;0;0;1270
RN-GROSSOS;10;56;32;94;119;119;839;12;208;0;0;1489
RN-GUAMARE;7;40;17;375;89;147;1326;41;559;34;1;2636
RN-IELMO MARINHO;9;4;5;29;83;18;365;9;235;0;0;757
RN-IPANGUACU;19;240;37;158;116;203;589;18;177;0;3;1560
RN-IPUEIRA;1;8;6;3;15;10;111;13;112;0;0;279
RN-ITAJA;15;85;28;56;48;41;538;13;149;1;0;974
RN-ITAU;1;2;2;23;16;4;224;9;144;4;0;429
RN-JACANA;0;1;1;2;35;2;237;16;134;1;1;430
RN-JANDAIRA;27;40;12;57;171;35;438;5;193;0;0;978
RN-JANDUIS;8;35;15;48;68;79;350;9;92;0;0;704
RN-JANUARIO CICCO;15;1;1;67;24;18;243;11;141;2;0;523
RN-JAPI;0;0;0;1;33;3;180;9;139;0;0;365
RN-JARDIM DE ANGICOS;0;5;1;16;116;0;23;6;81;2;0;250
RN-JARDIM DE PIRANHAS;17;120;28;100;139;79;634;21;288;5;0;1431
RN-JARDIM DO SERIDO;5;39;38;72;54;102;935;43;319;5;0;1612
RN-JOAO CAMARA;35;67;26;104;326;244;2398;129;824;23;6;4182
RN-JOAO DIAS;2;2;1;29;38;16;95;7;76;0;0;266
RN-JOSE DA PENHA;1;20;2;16;8;6;197;13;149;3;0;415
RN-JUCURUTU;8;34;25;67;165;176;1462;42;351;66;0;2396
RN-JUNDIA;1;2;0;0;4;1;162;1;52;0;0;223
RN-LAGOA D ANTA;1;1;1;14;68;4;204;8;100;12;0;413
RN-LAGOA DE PEDRAS;1;16;0;4;29;19;130;7;90;0;0;296
RN-LAGOA DE VELHOS;4;9;10;17;118;5;299;14;70;1;0;547
RN-LAGOA NOVA;4;32;20;66;215;60;833;56;429;4;0;1719
RN-LAGOA SALGADA;6;12;4;11;26;21;277;6;65;0;0;428
RN-LAJES;11;104;39;173;113;209;922;33;304;1;0;1909
RN-LAJES PINTADAS;0;5;0;0;173;0;71;14;53;0;1;317
RN-LUCRECIA;7;17;18;7;27;11;89;18;79;0;0;273
RN-LUIS GOMES;1;20;8;12;18;6;202;8;175;0;0;450
RN-MACAIBA;90;283;293;586;1191;893;7217;267;1879;18;16;12733
RN-MACAU;34;131;61;202;285;246;1929;82;640;85;0;3695
RN-MAJOR SALES;0;2;3;3;4;3;105;2;97;0;0;219
RN-MARCELINO VIEIRA;0;4;11;10;25;9;120;2;127;2;0;310
RN-MARTINS;0;6;26;38;36;43;471;24;196;2;0;842
RN-MAXARANGUAPE;24;31;17;65;107;102;653;43;294;0;0;1336
RN-MESSIAS TARGINO;1;3;4;13;11;14;244;8;64;0;0;362
RN-MONTANHAS;6;12;2;72;39;30;435;18;219;0;0;833
RN-MONTE ALEGRE;15;19;17;33;139;102;1270;75;484;25;40;2219
RN-MONTE DAS GAMELEIRAS;3;52;3;12;24;23;127;8;94;0;0;346
RN-MOSSORO;456;1708;1096;3041;4253;4211;40314;2937;10838;1073;1231;71158
RN-NATAL;1194;3913;3789;10930;13515;16124;160952;9942;82825;2643;1200;307027
RN-NISIA FLORESTA;21;50;27;124;205;210;1834;144;672;2;3;3292
RN-NOVA CRUZ;16;19;12;81;234;139;1983;60;712;3;1;3260
RN-OLHO-D AGUA DO BORGES;5;7;6;13;14;6;132;29;153;0;0;365
RN-OURO BRANCO;0;4;6;10;31;18;360;5;74;3;0;511
RN-PARANA;0;0;10;5;44;9;71;3;53;0;0;195
RN-PARAU;2;3;1;12;16;2;135;2;108;0;0;281
RN-PARAZINHO;0;0;2;2;12;12;160;7;101;0;0;296
RN-PARELHAS;5;148;237;369;177;287;2427;85;449;6;1;4191
RN-RIO DO FOGO;13;23;20;43;199;53;318;31;153;0;0;853
RN-PASSA E FICA;6;12;3;24;116;39;666;21;268;0;0;1155
RN-PASSAGEM;4;12;1;9;16;6;266;8;85;0;0;407
RN-PATU;2;21;4;35;19;15;410;6;170;6;0;688
RN-SANTA MARIA;2;9;0;5;11;8;397;3;31;0;0;466
RN-PAU DOS FERROS;12;301;41;69;154;167;2773;175;987;67;1;4747
RN-PEDRA GRANDE;1;6;1;13;5;7;216;0;74;0;0;323
RN-PEDRA PRETA;0;5;3;6;28;10;254;5;91;2;0;404
RN-PEDRO AVELINO;2;6;1;9;37;14;401;15;212;0;0;697
RN-PEDRO VELHO;5;25;1;6;55;36;623;13;229;0;0;993
RN-PENDENCIAS;16;80;33;185;110;231;729;20;143;0;0;1547
RN-PILOES;0;0;0;0;0;1;127;1;94;0;0;223
RN-POCO BRANCO;8;24;18;32;11;44;278;6;373;0;0;794
RN-PORTALEGRE;0;7;1;9;15;7;303;8;166;0;0;516
RN-PORTO DO MANGUE;4;30;14;67;138;82;439;8;177;0;0;959
RN-SERRA CAIADA;13;8;34;39;79;49;565;80;206;1;0;1074
RN-PUREZA;2;17;18;33;15;26;167;267;61;0;0;606
RN-RAFAEL FERNANDES;0;0;0;2;23;3;153;9;29;30;0;249
RN-RAFAEL GODEIRO;6;11;11;12;19;9;168;11;123;1;0;371
RN-RIACHO DA CRUZ;1;14;3;4;14;7;130;16;124;6;0;319
RN-RIACHO DE SANTANA;0;11;8;11;15;23;109;12;106;1;0;296
RN-RIACHUELO;6;98;10;175;96;114;632;48;185;0;1;1365
RN-RODOLFO FERNANDES;0;9;18;22;16;15;160;5;147;0;0;392
RN-TIBAU;9;21;26;32;124;86;637;21;178;45;1;1180
RN-RUY BARBOSA;0;1;0;3;10;4;194;10;101;0;0;323
RN-SANTA CRUZ;23;48;39;94;427;103;2166;34;596;1;1;3532
RN-SANTANA DO MATOS;2;16;16;48;22;23;475;29;238;1;0;870
RN-SANTANA DO SERIDO;0;2;4;8;10;12;314;10;52;0;0;412
RN-SANTO ANTONIO;4;13;6;16;83;47;970;42;336;0;0;1517
RN-SAO BENTO DO NORTE;3;40;15;37;59;42;467;20;97;0;0;780
RN-SAO BENTO DO TRAIRI;0;0;0;0;58;0;223;11;105;0;0;397
RN-SAO FERNANDO;4;34;8;32;36;40;277;15;64;0;0;510
RN-SAO FRANCISCO DO OESTE;11;5;8;20;67;33;244;15;70;1;0;474
RN-SAO GONCALO DO AMARANTE;143;393;344;490;930;776;8318;484;2478;22;1;14379
RN-SAO JOAO DO SABUGI;1;13;3;5;18;11;188;18;117;0;0;374
RN-SAO JOSE DE MIPIBU;64;174;112;310;389;464;5118;145;952;2;2;7732
RN-SAO JOSE DO CAMPESTRE;5;0;3;6;92;17;613;26;283;0;0;1045
RN-SAO JOSE DO SERIDO;3;7;6;29;29;45;750;13;148;1;1;1032
RN-SAO MIGUEL;2;18;15;30;38;54;781;42;410;3;3;1396
RN-SAO MIGUEL DO GOSTOSO;4;21;10;23;81;60;841;21;213;0;0;1274
RN-SAO PAULO DO POTENGI;4;20;16;33;200;99;852;38;429;8;1;1700
RN-SAO PEDRO;5;17;6;16;22;11;200;2;106;1;0;386
RN-SAO RAFAEL;1;8;3;5;47;32;274;3;107;1;0;481
RN-SAO TOME;3;17;0;21;26;43;310;4;173;0;0;597
RN-SAO VICENTE;2;26;9;33;30;28;500;13;151;0;0;792
RN-SENADOR ELOI DE SOUZA;0;2;0;7;16;12;413;2;43;0;0;495
RN-SENADOR GEORGINO AVELINO;2;20;3;13;20;19;229;2;89;1;0;398
RN-SERRA DE SAO BENTO;4;8;3;11;39;16;226;5;74;0;0;386
RN-SERRA DO MEL;4;25;23;86;139;50;799;34;297;8;5;1470
RN-SERRA NEGRA DO NORTE;528;9;4;17;18;48;499;5;55;0;0;1183
RN-SERRINHA;1;2;0;1;8;2;106;8;110;0;0;238
RN-SERRINHA DOS PINTOS;1;30;12;9;36;21;110;11;81;2;0;313
RN-SEVERIANO MELO;1;8;7;17;19;22;256;10;130;2;0;472
RN-SITIO NOVO;0;0;0;2;13;1;143;4;101;2;0;266
RN-TABOLEIRO GRANDE;1;19;7;13;10;6;86;6;79;1;0;228
RN-TAIPU;20;33;11;32;55;31;353;3;49;65;33;685
RN-TANGARA;5;12;36;35;180;51;635;24;258;0;0;1236
RN-TENENTE ANANIAS;2;16;5;9;10;12;379;8;96;2;0;539
RN-TENENTE LAURENTINO CRUZ;1;9;0;6;3;13;315;3;159;0;0;509
RN-TIBAU DO SUL;50;171;68;177;369;354;2989;115;541;7;3;4844
RN-TIMBAUBA DOS BATISTAS;1;1;2;0;15;4;208;14;74;1;0;320
RN-TOUROS;34;53;29;321;171;120;1976;66;698;1;1;3470
RN-TRIUNFO POTIGUAR;4;22;8;19;23;15;143;9;94;5;0;342
RN-UMARIZAL;0;21;12;27;34;35;291;29;142;1;0;592
RN-UPANEMA;10;147;22;73;76;77;576;15;228;5;0;1229
RN-VARZEA;1;3;2;2;3;17;345;5;51;0;0;429
RN-VENHA-VER;2;18;10;13;13;12;96;10;94;1;0;269
RN-VERA CRUZ;5;9;5;16;28;14;528;13;125;1;0;744
RN-VICOSA;0;3;1;16;9;7;60;7;98;4;0;205
RN-VILA FLOR;0;1;0;2;10;10;272;7;60;0;0;362
PB-AGUA BRANCA;0;1;11;13;110;14;197;14;125;1;0;486
PB-AGUIAR;1;5;0;9;4;2;130;1;76;2;0;230
PB-ALAGOA GRANDE;16;32;16;24;782;45;586;34;622;4;1;2162
PB-ALAGOA NOVA;34;80;32;181;144;70;1018;8;303;4;0;1874
PB-ALAGOINHA;7;12;6;44;32;99;516;14;267;0;0;997
PB-ALCANTIL;0;0;1;6;224;9;94;3;138;0;0;475
PB-ALGODAO DE JANDAIRA;4;5;139;0;35;2;33;6;85;0;0;309
PB-ALHANDRA;553;296;116;306;172;315;2544;95;1535;1;0;5933
PB-SAO JOAO DO RIO DO PEIXE;4;28;20;44;62;39;705;38;434;4;0;1378
PB-AMPARO;0;4;1;70;5;11;167;0;87;2;2;349
PB-APARECIDA;1;16;4;46;12;14;339;4;156;4;0;596
PB-ARACAGI;14;85;9;40;29;35;508;37;377;4;0;1138
PB-ARARA;8;37;30;27;44;28;391;54;232;1;0;852
PB-ARARUNA;3;67;5;67;16;19;604;12;399;16;7;1215
PB-AREIA;56;61;27;194;109;37;909;28;428;5;0;1854
PB-AREIA DE BARAUNAS;0;0;0;0;5;0;270;0;11;1;0;287
PB-AREIAL;0;1;60;2;98;7;128;15;115;0;0;426
PB-AROEIRAS;5;15;2;11;435;15;366;112;461;46;0;1468
PB-ASSUNCAO;0;12;32;4;107;4;115;1;88;17;0;380
PB-BAIA DA TRAICAO;23;31;3;29;11;14;166;3;157;1;0;438
PB-BANANEIRAS;43;153;50;196;89;41;815;21;415;3;0;1826
PB-BARAUNA;11;1;75;1;5;1;156;8;111;1;0;370
PB-BARRA DE SANTANA;0;5;16;19;55;20;255;39;223;7;0;639
