,Codigo,Nome,Nivel,Governança Colaborativa - Responsáveis,Incorporação de TICs - Planejamento,Planejamento Estratégico para Transformação Digital,Governança de TI - Práticas,Infraestrutura de Hw e Sw - Armazenamento,Gestão Integrada de Dados,Serviços Públicos On-line,Solicitação de Serviços Públicos,Segurança de Políticas Públicas - Monitoramento,Percepção dos Serviços Públicos,Transparência - Monitoramento,Transparência - Execução Orçamentária e Financeira,Transparência dos Dados - Disponibilização,Segurança dos Dados - Práticas
Valor,3500303,Aguaí,2,,,,,,,11,5,,0,,5,9,
Valor,5200209,Água Limpa,2,,,,,,,6,6,,0,,5,8,
Valor,3100807,Aguanil,2,,,,,,,8,3,,0,,5,9,
Valor,2400406,Água Nova,2,,,,,,,0,4,,0,,5,7,
Valor,2600401,Água Preta,2,,,,,,,7,5,,0,,5,10,
Valor,4300059,Água Santa,2,,,,,,,7,5,,0,,5,9,
Valor,2600500,Águas Belas,2,,,,,,,9,6,,0,,5,8,
Valor,3500402,Águas da Prata,2,,,,,,,10,4,,0,,5,8,
Valor,4200507,Águas de Chapecó,2,,,,,,,12,4,,0,,5,9,
Valor,3500501,Águas de Lindóia,2,,,,,,,12,4,,0,,5,9,
Valor,3500550,Águas de Santa Bárbara,2,,,,,,,4,3,,0,,5,8,
Valor,3500600,Águas de São Pedro,2,,,,,,,7,5,,0,,5,9,
Valor,3100906,Águas Formosas,2,,,,,,,4,2,,0,,4,7,
Valor,4200556,Águas Frias,2,,,,,,,4,4,,0,,5,9,
Valor,5200258,Águas Lindas de Goiás,2,,,,,,,11,5,,0,,5,7,
Valor,4200606,Águas Mornas,2,,,,,,,6,6,,0,,5,8,
Valor,3101003,Águas Vermelhas,2,,,,,,,7,4,,0,,4,9,
Valor,4300109,Agudo,2,,,,,,,8,4,,0,,4,9,
Valor,3500709,Agudos,3,,,,,,,14,3,,1,,5,7,
Valor,4100301,Agudos do Sul,2,,,,,,,11,4,,0,,5,8,
Valor,3200136,Águia Branca,2,,,,,,,10,3,,1,,5,9,
Valor,2500205,Aguiar,2,,,,,,,6,2,,1,,5,8,
Valor,1700301,Aguiarnópolis,2,,,,,,,7,2,,0,,4,8,
Valor,3101102,Aimorés,2,,,,,,,8,3,,0,,4,9,
Valor,2900603,Aiquara,2,,,,,,,7,4,,0,,5,10,
Valor,2300408,Aiuaba,2,,,,,,,11,2,,1,,4,7,
Valor,3101201,Aiuruoca,2,,,,,,,7,7,,0,,5,9,
Valor,4300208,Ajuricaba,2,,,,,,,7,4,,0,,4,8,
Valor,3101300,Alagoa,3,1,0,0,1,3,0,6,5,0,0,2,5,8,1
Valor,2500304,Alagoa Grande,2,,,,,,,8,5,,0,,5,9,
Valor,2500403,Alagoa Nova,2,,,,,,,3,4,,0,,5,9,
Valor,2500502,Alagoinha,2,,,,,,,6,4,,0,,5,9,
Valor,2600609,Alagoinha,2,,,,,,,7,5,,0,,5,9,
Valor,2200251,Alagoinha do Piauí,2,,,,,,,7,4,,0,,5,8,
Valor,2900702,Alagoinhas,2,,,,,,,12,7,,0,,5,10,
Valor,3500758,Alambari,2,,,,,,,11,3,,0,,5,9,
Valor,3101409,Albertina,3,1,0,2,1,2,2,3,4,0,0,0,4,7,5
Valor,2100204,Alcântara,2,,,,,,,2,5,,0,,4,8,
Valor,2300507,Alcântaras,2,,,,,,,7,4,,1,,4,8,
Valor,2500536,Alcantil,1,,,,,,,5,5,,0,,0,2,
Valor,5000252,Alcinópolis,2,,,,,,,8,5,,0,,5,9,
Valor,2900801,Alcobaça,2,,,,,,,9,4,,1,,5,8,
Valor,2100303,Aldeias Altas,2,,,,,,,2,3,,0,,5,7,
Valor,4300307,Alecrim,2,,,,,,,10,4,,1,,5,8,
